#ip_address latitude longitude
128.163.142.20 38.0287 -84.5075
143.89.49.73 22.2833 114.15
222.197.180.137 30.6667 104.0667
129.105.15.37 42.0586 -87.6845
139.19.158.233 49.2333 7
193.205.215.74 46.0794 11.0483
131.254.208.11 48.112 -1.6743
128.252.19.19 38.6657 -90.3231
139.19.158.235 49.2333 7
193.63.75.19 51.5166 -0.0966
192.43.193.72 47.5592 7.5788
141.11.0.165 51.5 -0.13
142.150.238.12 43.6619 -79.3952
128.151.65.101 43.1548 -77.6156
130.192.9.230 45.0833 7.6833
193.1.170.136 53.3331 -6.2489
193.167.187.187 60.1756 24.9342
220.245.140.197 -37.9333 145.4667
195.148.124.73 60.1708 24.9375
143.215.131.206 33.7763 -84.398
194.117.20.214 38.7167 -9.1333
141.213.4.202 42.2923 -83.7145
147.83.30.164 41.3994 2.1757
152.81.47.5 48.6833 6.2
151.100.59.9 41.9 12.4833
131.188.44.100 49.5888 11.0098
132.187.230.1 49.783 9.9366
131.114.59.243 43.7167 10.3833
128.238.88.64 40.6944 -73.9906
134.34.246.5 47.6667 9.1833
83.246.92.212 51 9
134.151.255.181 52.4643 -1.9279
138.96.116.21 43.5624 7.1278
131.114.53.188 43.7167 10.3833
72.36.112.72 40.1106 -88.2073
131.114.53.187 43.7167 10.3833
147.83.30.167 41.3994 2.1757
163.117.253.23 40.4024 -3.6924
200.129.0.162 -23.5477 -46.6358
134.34.246.4 47.6667 9.1833
203.246.112.147 37.5985 126.9783
219.243.208.62 39.9289 116.3883
138.4.0.120 40.4024 -3.6924
193.166.160.99 60.1708 24.9375
198.83.85.46 35.0443 -106.6729
202.125.215.10 22.2833 114.15
192.248.16.111 7 81
141.22.213.34 53.55 10
160.36.57.173 35.9901 -83.9622
193.136.19.29 41.5514 -8.4198
141.24.249.131 50.6912 10.9199
133.69.32.131 35.69 139.69
129.237.161.194 38.9525 -95.2756
193.191.148.249 51.05 3.7167
193.136.227.163 37.0194 -7.9322
129.105.15.36 42.0586 -87.6845
128.208.4.199 47.6606 -122.2919
139.165.12.212 50.6333 5.5667
128.84.154.40 42.4406 -76.4966
220.245.140.196 -37.9333 145.4667
140.247.60.123 42.38 -71.1329
128.233.252.11 52.1193 -106.6594
193.1.201.27 53.3331 -6.2489
128.83.122.179 30.2961 -97.7369
217.173.198.154 50.6667 17.95
157.159.226.74 48.6328 2.4405
128.233.252.12 52.1193 -106.6594
149.156.5.114 50.0833 19.9167
194.117.20.215 38.7167 -9.1333
200.129.0.161 -23.5477 -46.6358
129.107.35.131 32.7714 -97.2915
143.248.55.129 36.3214 127.4197
202.189.126.86 22.2833 114.15
143.215.131.198 33.7763 -84.398
128.187.223.211 40.3563 -111.7325
152.3.138.4 35.994 -78.8986
130.133.116.2 52.5167 13.4
137.99.11.87 41.808 -72.251
128.84.154.42 42.4406 -76.4966
128.84.154.43 42.4406 -76.4966
130.83.166.247 49.8719 8.6484
200.133.215.142 -23.5477 -46.6358
194.167.254.19 48.86 2.35
203.246.112.148 37.5985 126.9783
132.252.152.194 51.45 7.0167
137.165.1.114 42.712 -73.2037
193.167.187.185 60.1756 24.9342
193.166.167.4 61.5 23.75
210.125.84.44 37.57 126.98
157.92.44.103 -34.6033 -58.3816
193.136.191.26 38.7167 -9.1333
193.136.227.164 37.0194 -7.9322
212.201.44.81 53.0889 8.7906
195.116.53.24 52.2333 21.0167
195.130.121.205 39.6675 20.8508
156.17.10.51 51.1 17.0333
157.159.226.72 48.6328 2.4405
132.227.62.123 48.8592 2.3417
23.228.128.73 39.0142 -94.5951
23.228.128.86 39.0142 -94.5951
128.59.20.228 40.8006 -73.9653
133.69.32.133 35.69 139.69
139.165.12.211 50.6333 5.5667
195.113.161.13 50.0833 14.4667
194.29.178.6 52.25 21
128.119.247.250 42.3672 -72.5185
195.251.248.180 37.9833 23.7333
128.31.1.15 42.3751 -71.1056
128.6.192.158 40.4993 -74.399
62.108.171.76 54.1936 16.1849
200.133.215.141 -23.5477 -46.6358
134.226.52.34 53.3331 -6.2489
195.130.121.204 39.6675 20.8508
130.206.158.138 42.8169 -1.6432
128.6.192.156 40.4993 -74.399
193.174.67.187 52.5167 13.4
131.247.2.242 28.0631 -82.4128
195.116.53.23 52.2333 21.0167
103.25.231.42 28.6667 77.2167
158.130.6.253 39.9597 -75.1968
200.19.159.34 -23.5477 -46.6358
128.232.103.203 52.2093 0.1482
194.42.17.123 35.1667 33.3667
198.83.85.44 35.0443 -106.6729
133.1.17.73 34.7833 135.4667
129.74.74.15 41.7007 -86.2501
136.145.115.194 18.25 -66.5
192.42.43.23 47.0009 6.9274
193.136.191.21 38.7167 -9.1333
41.225.7.4 36.8601 10.1934
160.78.253.32 44.7471 10.3341
129.82.12.188 40.4555 -105.4648
212.235.189.114 46.0553 14.5144
204.123.28.52 37.3762 -122.1826
194.42.17.124 35.1667 33.3667
138.96.116.20 43.5624 7.1278
195.113.161.82 50.0833 14.4667
218.94.106.114 32.0617 118.7778
138.96.116.2 43.5624 7.1278
213.73.40.106 40.4 -3.6833
132.252.152.193 51.45 7.0167
210.125.84.43 37.57 126.98
193.166.167.5 61.5 23.75
194.254.215.12 49.0254 2.2169
130.92.70.254 46.9167 7.4667
155.207.200.83 40.6403 22.9439
132.239.17.224 32.8807 -117.2359
132.239.17.226 32.8807 -117.2359
139.19.158.229 49.2333 7
143.215.131.197 33.7763 -84.398
192.33.90.66 47.3667 8.55
149.169.227.131 33.4148 -111.9093
130.133.116.3 52.5167 13.4
138.15.10.59 40.3756 -74.6597
128.112.139.97 40.3756 -74.6597
128.112.139.18 40.3756 -74.6597
193.55.112.40 48.86 2.35
128.223.8.113 44.0521 -123.0867
192.41.136.219 47.3667 8.55
155.54.239.64 37.9876 -1.1331
169.229.50.10 37.8668 -122.2536
132.72.23.11 31.5 34.75
192.1.249.138 42.38 -71.1329
155.246.12.163 40.744 -74.0324
212.235.189.115 46.0553 14.5144
83.230.127.121 50.2667 19.0167
134.76.249.229 51.5509 9.9328
115.156.163.244 30.5801 114.2734
202.202.43.199 29.5628 106.5528
218.94.106.112 32.0617 118.7778
217.173.198.153 50.6667 17.95
118.139.145.130 -37.9167 145.1333
188.1.240.186 51 9
193.136.124.3 38.7167 -9.1333
130.253.21.121 39.7388 -104.4083
130.253.21.123 39.7388 -104.4083
134.197.113.3 40.5412 -119.5869
222.99.146.81 37.57 126.98
222.99.146.83 37.57 126.98
137.189.98.213 22.2833 114.15
141.217.48.51 42.3755 -83.0772
199.26.254.69 38.8357 -77.3375
141.83.148.101 53.8667 10.7
130.206.158.140 42.8169 -1.6432
169.229.50.15 37.8668 -122.2536
132.187.230.2 49.783 9.9366
195.37.16.125 49.0168 12.0954
141.20.103.210 52.5167 13.4
130.79.48.55 48.5833 7.75
193.157.115.250 59.9127 10.7414
132.227.62.92 48.8592 2.3417
194.79.147.164 48.8167 2.3
130.208.242.1 64.1396 -21.915
193.191.148.250 51.05 3.7167
